"filename", "language", "Markdown", "CSS", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 9, 18
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\package-lock.json", "JSON", 0, 0, 0, 27205, 0, 0, 1, 27206
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\package.json", "JSON", 0, 0, 0, 40, 0, 0, 1, 41
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\public\index.html", "HTML", 0, 0, 0, 0, 17, 23, 3, 43
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\App.js", "JavaScript", 0, 0, 50, 0, 0, 0, 10, 60
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\api\axios.js", "JavaScript", 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Login.js", "JavaScript", 0, 0, 91, 0, 0, 1, 13, 105
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Register.js", "JavaScript", 0, 0, 200, 0, 0, 4, 22, 226
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\RegisterDoctor.js", "JavaScript", 0, 0, 201, 0, 0, 4, 23, 228
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\RequireAuth.js", "JavaScript", 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Unauthorized.js", "JavaScript", 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Editor.js", "JavaScript", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Home.js", "JavaScript", 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Layout.js", "JavaScript", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Lounge.js", "JavaScript", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Missing.js", "JavaScript", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\NavBar.js", "JavaScript", 0, 0, 30, 0, 0, 2, 7, 39
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\Therapies.js", "JavaScript", 0, 0, 92, 0, 0, 4, 10, 106
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\TherapiesPage.js", "JavaScript", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\TherapyPage.js", "JavaScript", 0, 0, 34, 0, 0, 1, 5, 40
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Admin.js", "JavaScript", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Users.js", "JavaScript", 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\context\AuthProvider.js", "JavaScript", 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\UseAuth.js", "JavaScript", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\UseAxiosPrivate.js", "JavaScript", 0, 0, 37, 0, 0, 0, 7, 44
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\userRefreshToken.js", "JavaScript", 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\index.css", "CSS", 0, 200, 0, 0, 0, 0, 38, 238
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\index.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 19
"Total", "-", 9, 200, 976, 27270, 17, 39, 194, 28705
