"filename", "language", "CSS", "JavaScript", "ApexLog", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\details.md", "Markdown", 0, 0, 0, 50, 0, 0, 6, 56
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 6, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 7, 19
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\diff.txt", "ApexLog", 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\results.md", "Markdown", 0, 0, 0, 32, 0, 0, 7, 39
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\results.txt", "ApexLog", 0, 0, 80, 0, 0, 0, 3, 83
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\public\robots.txt", "ApexLog", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\App.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 28
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\AppointmentPage.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\Appointments.js", "JavaScript", 0, 54, 0, 0, 0, 5, 6, 65
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\AppointmentsPage.js", "JavaScript", 0, -2, 0, 0, 0, 0, 0, -2
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\CreateAppointment.js", "JavaScript", 0, 114, 0, 0, 0, 3, 15, 132
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\EditAppointment.js", "JavaScript", 0, 113, 0, 0, 0, 0, 12, 125
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\MyAppointments.js", "JavaScript", 0, 124, 0, 0, 0, 0, 17, 141
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Login.js", "JavaScript", 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Editor.js", "JavaScript", 0, 64, 0, 0, 0, 0, 8, 72
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Home.js", "JavaScript", 0, -12, 0, 0, 0, 0, -4, -16
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Layout.js", "JavaScript", 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Lounge.js", "JavaScript", 0, -12, 0, 0, 0, 0, -2, -14
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Main\Home.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Main\Layout.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Main\Missing.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Main\NavBar.js", "JavaScript", 0, 50, 0, 0, 0, 2, 10, 62
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Missing.js", "JavaScript", 0, -13, 0, 0, 0, 0, -2, -15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\NavBar.js", "JavaScript", 0, -30, 0, 0, 0, -2, -7, -39
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\CreateNote.js", "JavaScript", 0, 83, 0, 0, 0, 11, 12, 106
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\EditNote.js", "JavaScript", 0, 79, 0, 0, 0, 2, 13, 94
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\NotePage.js", "JavaScript", 0, 34, 0, 0, 0, 2, 5, 41
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\Notes.js", "JavaScript", 0, 110, 0, 0, 0, 5, 12, 127
