"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "ApexLog", "HTML", "comment", "blank", "total"
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\details.md", "Markdown", 0, 0, 50, 0, 0, 0, 0, 6, 56
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\diff.txt", "ApexLog", 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\results.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 7, 39
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\.VSCodeCounter\2023-12-23_02-47-44\results.txt", "ApexLog", 0, 0, 0, 0, 80, 0, 0, 3, 83
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 9, 18
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\package-lock.json", "JSON", 0, 0, 0, 27205, 0, 0, 0, 1, 27206
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\package.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\public\index.html", "HTML", 0, 0, 0, 0, 0, 17, 23, 3, 43
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\public\robots.txt", "ApexLog", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\App.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 11, 99
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\api\axios.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\AppointmentPage.js", "JavaScript", 47, 0, 0, 0, 0, 0, 1, 8, 56
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\Appointments.js", "JavaScript", 138, 0, 0, 0, 0, 0, 9, 16, 163
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\AppointmentsPage.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\CreateAppointment.js", "JavaScript", 114, 0, 0, 0, 0, 0, 3, 16, 133
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\EditAppointment.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 13, 126
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\MyAppointments.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 17, 141
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Login.js", "JavaScript", 91, 0, 0, 0, 0, 0, 3, 14, 108
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Register.js", "JavaScript", 200, 0, 0, 0, 0, 0, 4, 22, 226
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\RegisterDoctor.js", "JavaScript", 197, 0, 0, 0, 0, 0, 4, 24, 225
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\RequireAuth.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Unauthorized.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
